id_venda,data,produto,categoria,vendedor,regiao,quantidade,preco_unitario,desconto,faturamento
45,2026-03-27,Headset,Áudio,Carlos,Nordeste,7,288.72,0.1,1818.9360000000001
46,2026-03-30,Cadeira Gamer,Móveis,Ana,Sul,5,1156.98,0.05,5495.655
47,2026-04-15,Notebook,Informática,Beatriz,Sul,4,3665.5,0.05,13928.9
48,2026-06-01,SSD 1TB,Armazenamento,Ana,Nordeste,4,492.46,0.0,1969.84
49,2026-04-09,Mouse,Periféricos,Mariana,Sudeste,8,87.42,0.15,594.456
50,2026-04-30,Mouse,Periféricos,Ana,Sul,4,86.0,0.05,326.8
51,2026-04-27,Monitor,Informática,Ana,Centro-Oeste,3,1253.97,0.15,3197.6234999999997
52,2026-06-06,Mouse,Periféricos,Mariana,Centro-Oeste,3,88.18,0.1,238.086
53,2026-03-14,Headset,Áudio,Joao,Sudeste,1,270.24,0.0,270.24
54,2026-04-01,Webcam,Periféricos,Ana,Sudeste,3,208.49,0.0,625.47
55,2026-04-16,Headset,Áudio,Carlos,Nordeste,3,265.96,0.0,797.8799999999999
56,2026-04-23,Monitor,Informática,Rafael,Centro-Oeste,4,1270.41,0.05,4827.558
57,2026-03-31,Cadeira Gamer,Móveis,Beatriz,Sul,2,1119.37,0.0,2238.74
58,2026-04-18,Cadeira Gamer,Móveis,Joao,Centro-Oeste,1,1147.36,0.15,975.2559999999999
59,2026-04-30,Webcam,Periféricos,Mariana,Sul,2,226.71,0.1,408.07800000000003
60,2026-04-25,Monitor,Informática,Ana,Sudeste,2,1255.06,0.1,2259.108
61,2026-03-03,SSD 1TB,Armazenamento,Beatriz,Sudeste,5,521.4,0.1,2346.3
62,2026-02-12,Mouse,Periféricos,Mariana,Sudeste,4,88.67,0.15,301.478
63,2026-03-03,Notebook,Informática,Joao,Sudeste,8,3344.49,0.15,22742.532
64,2026-05-17,Mouse,Periféricos,Mariana,Sul,,89.83,0.15,
65,2026-05-17,Cadeira Gamer,Móveis,Carlos,Sul,4,1170.17,0.15,3978.578
66,2026-01-09,Cadeira Gamer,Móveis,Rafael,Nordeste,6,1201.64,0.15,6128.364
67,2026-04-28,Webcam,Periféricos,Joao,Centro-Oeste,1,217.84,0.15,185.164
68,2026-02-14,Notebook,Informática,Rafael,Centro-Oeste,4,3597.57,0.0,14390.28
69,2026-01-07,Headset,Áudio,Mariana,Sudeste,8,294.34,0.15,2001.5119999999997
70,2026-06-10,Mouse,Periféricos,Carlos,Nordeste,2,84.54,0.15,143.71800000000002
71,2026-03-05,Teclado,Periféricos,Carlos,Centro-Oeste,1,154.46,0.0,154.46
72,2026-05-02,Webcam,Periféricos,Rafael,Sul,8,233.13,0.1,1678.536
73,2026-03-24,Notebook,Informática,Carlos,Nordeste,3,3531.54,0.0,10594.619999999999
74,2026-02-16,Webcam,Periféricos,Beatriz,Centro-Oeste,5,215.85,0.15,917.3625
75,2026-05-13,Headset,Áudio,Beatriz,Sul,3,286.01,0.0,858.03
76,2026-04-24,Notebook,Informática,Joao,Centro-Oeste,1,3488.59,0.0,3488.59
77,2026-05-04,Monitor,Informática,Rafael,Sul,3,1297.38,0.0,3892.1400000000003
78,2026-05-30,Teclado,Periféricos,Ana,Nordeste,5,153.83,0.0,769.1500000000001
79,2026-01-12,Cadeira Gamer,Móveis,Mariana,Centro-Oeste,2,1178.09,0.15,2002.7529999999997
80,2026-01-14,Webcam,Periféricos,Joao,Sudeste,5,219.51,0.0,1097.55
81,2026-06-27,Cadeira Gamer,Móveis,Mariana,Centro-Oeste,3,1114.6,0.0,3343.7999999999997
82,2026-01-25,Mouse,Periféricos,Carlos,Centro-Oeste,2,83.82,0.15,142.49399999999997
83,2026-02-21,Notebook,Informática,Carlos,Centro-Oeste,5,3422.12,0.0,17110.6
84,2026-04-30,Webcam,Periféricos,Ana,Sul,6,213.16,0.0,1278.96
85,2026-01-27,Webcam,Periféricos,Ana,Nordeste,1,221.97,0.0,221.97
86,2026-01-16,SSD 1TB,Armazenamento,Ana,Nordeste,8,519.81,0.05,3950.5559999999996
87,2026-04-20,Teclado,Periféricos,Rafael,Nordeste,5,158.77,0.05,754.1575
88,2026-06-11,Monitor,Informática,Mariana,Sudeste,1,1196.98,0.15,1017.433
89,2026-06-10,SSD 1TB,Armazenamento,Mariana,,8,527.67,0.1,3799.2239999999997
90,2026-01-15,Headset,Áudio,Carlos,Centro-Oeste,6,294.26,0.0,1765.56
91,2026-01-21,SSD 1TB,Armazenamento,Ana,Nordeste,2,545.41,0.05,1036.279
92,2026-03-17,SSD 1TB,Armazenamento,Mariana,Centro-Oeste,5,497.58,0.1,2239.11
93,2026-02-06,Teclado,Periféricos,Ana,Sul,6,161.11,0.0,966.6600000000001
94,2026-03-07,SSD 1TB,Armazenamento,Beatriz,Sudeste,1,533.15,0.05,506.49249999999995
95,2026-03-01,Webcam,Periféricos,Joao,Sul,2,219.45,0.0,438.9
96,2026-04-04,Mouse,Periféricos,Joao,Sudeste,3,87.61,0.15,223.4055
97,2026-06-24,Webcam,Periféricos,Ana,Centro-Oeste,2,225.7,0.05,428.83
98,2026-06-09,SSD 1TB,Armazenamento,Ana,Nordeste,4,516.74,0.0,2066.96
99,2026-01-25,Monitor,Informática,Carlos,Sudeste,8,1245.52,0.05,9465.952
100,2026-03-22,Notebook,Informática,Rafael,Sul,3,3521.15,0.0,10563.45
101,2026-03-22,Mouse,Periféricos,Joao,Sudeste,1,82.77,0.15,70.3545
102,2026-03-09,Webcam,Periféricos,Mariana,Sul,6,213.72,0.15,1089.972
103,2026-02-04,Monitor,Informática,Mariana,Centro-Oeste,3,1185.35,0.1,3200.4449999999997
104,2026-06-09,Headset,Áudio,Rafael,Sul,6,265.0,0.1,1431.0
105,2026-01-29,Notebook,Informática,Joao,Nordeste,7,3526.51,0.0,24685.57
106,2026-04-06,SSD 1TB,Armazenamento,Mariana,Nordeste,2,550.92,0.15,936.5639999999999
107,2026-06-02,Teclado,Periféricos,Ana,Centro-Oeste,8,152.65,0.0,1221.2
108,2026-04-29,SSD 1TB,Armazenamento,Joao,Sudeste,3,523.91,0.1,1414.557
109,2026-04-08,Webcam,Periféricos,Beatriz,Sudeste,8,212.22,0.15,1443.096
110,2026-06-30,Webcam,Periféricos,Beatriz,Nordeste,4,216.37,0.0,865.48
111,2026-06-30,Notebook,Informática,Ana,Centro-Oeste,3,3491.83,0.0,10475.49
112,2026-06-30,Mouse,Periféricos,Beatriz,Nordeste,4,82.53,0.0,330.12
113,2026-04-13,Mouse,Periféricos,Beatriz,Sul,2,80.65,0.0,161.3
114,2026-05-26,Monitor,Informática,Rafael,Centro-Oeste,7,1209.57,0.15,7196.9415
115,2026-05-26,Headset,Áudio,Rafael,Centro-Oeste,6,285.82,0.15,1457.682
116,2026-01-18,Teclado,Periféricos,Ana,Nordeste,1,159.97,0.0,159.97
117,2026-04-02,Cadeira Gamer,Móveis,Rafael,Centro-Oeste,6,1145.8,0.1,6187.32
118,2026-06-20,SSD 1TB,Armazenamento,Joao,Centro-Oeste,7,493.51,0.1,3109.113
119,2026-06-22,Notebook,Informática,Carlos,Sul,8,3627.78,0.05,27571.128
120,2026-01-12,Teclado,Periféricos,Ana,Sudeste,3,159.63,0.0,478.89
121,2026-05-01,Cadeira Gamer,Móveis,Ana,Nordeste,2,1193.99,0.1,2149.1820000000002
122,2026-04-24,Mouse,Periféricos,Joao,Sudeste,4,82.98,0.0,331.92
123,2026-05-11,Mouse,Periféricos,Carlos,Sul,7,88.24,0.1,555.9119999999999
124,2026-05-05,SSD 1TB,Armazenamento,Rafael,Centro-Oeste,2,495.28,0.05,941.0319999999999
125,2026-02-06,Webcam,Periféricos,Beatriz,Centro-Oeste,8,230.86,0.0,1846.88
126,2026-02-17,Headset,Áudio,Beatriz,Sul,2,277.03,0.0,554.06
127,2026-06-22,Headset,Áudio,Mariana,Sul,7,274.62,0.15,1633.989
128,2026-02-17,Monitor,Informática,Mariana,Sudeste,2,1277.26,0.0,2554.52
129,2026-03-08,Cadeira Gamer,Móveis,Rafael,Centro-Oeste,3,1163.33,0.1,3140.991
130,2026-02-25,Webcam,Periféricos,Joao,Centro-Oeste,4,211.71,0.05,804.498
131,2026-02-07,SSD 1TB,Armazenamento,Beatriz,Nordeste,1,503.67,0.15,428.1195
132,2026-02-06,Monitor,Informática,Rafael,Sudeste,4,1207.69,0.15,4106.146
133,2026-03-19,Teclado,Periféricos,Beatriz,Sul,7,158.59,0.0,1110.13
134,2026-04-23,Mouse,Periféricos,Joao,Sudeste,6,87.37,0.0,524.22
135,2026-02-07,Mouse,Periféricos,Rafael,Centro-Oeste,8,87.59,0.05,665.684
136,2026-01-07,Headset,Áudio,Joao,Sul,6,278.73,0.0,1672.38
137,2026-03-08,Mouse,Periféricos,Ana,Centro-Oeste,5,86.12,0.0,430.6
138,2026-01-09,Webcam,Periféricos,Rafael,Sul,4,229.8,0.0,919.2
139,2026-01-06,Teclado,Periféricos,Mariana,Sudeste,5,164.82,0.05,782.8949999999999
140,2026-02-25,Mouse,Periféricos,Beatriz,Sudeste,3,81.35,0.15,207.44249999999997
141,2026-02-27,Notebook,Informática,Carlos,Centro-Oeste,3,3494.1,0.1,9434.07
142,2026-03-10,Webcam,Periféricos,Rafael,Sul,2,227.01,0.05,431.31899999999996
143,2026-01-09,,Áudio,Joao,Sudeste,7,272.25,0.1,1715.175
144,2026-01-25,Headset,Áudio,Joao,Sul,5,291.82,0.0,1459.1
145,2026-02-26,Notebook,Informática,Carlos,Sudeste,3,3374.52,0.15,8605.026
146,2026-04-04,Webcam,Periféricos,Mariana,Centro-Oeste,5,211.08,0.1,949.8600000000001
147,2026-05-01,SSD 1TB,Armazenamento,Ana,Sul,3,540.9,0.05,1541.5649999999998
148,2026-01-21,Webcam,Periféricos,Joao,Centro-Oeste,6,217.04,0.0,1302.24
149,2026-05-15,Cadeira Gamer,Móveis,Ana,Sul,5,1149.79,0.05,5461.5025
150,2026-05-16,SSD 1TB,Armazenamento,Beatriz,Sudeste,5,531.55,0.0,2657.75
151,2026-06-12,SSD 1TB,Armazenamento,Mariana,Centro-Oeste,8,512.97,0.1,3693.3840000000005
152,2026-03-29,Headset,Áudio,Joao,Sudeste,8,296.8,0.0,2374.4
153,2026-04-03,Webcam,Periféricos,Joao,Sudeste,4,224.06,0.15,761.804
154,2026-02-02,Webcam,Periféricos,Beatriz,Nordeste,3,208.06,0.0,624.1800000000001
155,2026-04-19,Mouse,Periféricos,Rafael,Sudeste,2,81.71,0.05,155.24899999999997
156,2026-06-04,Mouse,Periféricos,Mariana,Sul,4,87.41,0.15,297.19399999999996
157,2026-04-09,SSD 1TB,Armazenamento,Joao,Sul,1,527.55,0.0,527.55
158,2026-04-05,Notebook,Informática,Mariana,Centro-Oeste,4,3587.97,0.0,14351.88
159,2026-03-01,Webcam,Periféricos,Joao,Sul,4,216.06,0.15,734.604
160,2026-05-11,Monitor,Informática,Mariana,Centro-Oeste,8,1253.34,0.15,8522.712
161,2026-01-12,Notebook,Informática,Joao,Centro-Oeste,1,3456.23,0.0,3456.23
162,2026-05-10,Cadeira Gamer,Móveis,Carlos,Nordeste,6,1109.5,0.05,6324.15
163,2026-01-20,Teclado,Periféricos,Joao,Sul,6,156.01,0.0,936.06
164,2026-01-12,Mouse,Periféricos,Beatriz,Nordeste,7,86.1,0.15,512.295
165,2026-05-25,Headset,Áudio,Mariana,Nordeste,1,274.78,0.1,247.302
166,2026-02-22,Teclado,Periféricos,Mariana,Sul,5,163.49,0.05,776.5775
167,2026-03-04,Headset,Áudio,Carlos,Centro-Oeste,4,275.61,0.15,937.0740000000001
168,2026-06-29,Webcam,Periféricos,Carlos,Nordeste,7,232.82,0.1,1466.766
169,2026-04-11,Headset,Áudio,Mariana,Nordeste,7,291.93,0.15,1736.9835
170,2026-05-18,Headset,Áudio,Beatriz,Nordeste,2,294.92,0.0,589.84
171,2026-01-22,Webcam,Periféricos,Beatriz,Nordeste,1,232.95,0.0,232.95
172,2026-05-01,SSD 1TB,Armazenamento,Rafael,Nordeste,7,548.41,0.05,3646.9264999999996
173,2026-03-14,Teclado,Periféricos,Carlos,Sul,8,168.83,0.0,1350.64
174,2026-05-16,Webcam,Periféricos,Mariana,Nordeste,8,219.41,0.0,1755.28
175,2026-03-03,Notebook,Informática,Ana,Sul,8,3680.39,0.1,26498.808
176,2026-03-26,Teclado,Periféricos,Mariana,Centro-Oeste,2,156.13,0.15,265.421
177,2026-01-14,Teclado,Periféricos,Mariana,Centro-Oeste,6,158.78,0.05,905.046
178,2026-05-19,Monitor,Informática,Ana,Nordeste,4,1278.97,0.05,4860.086
179,2026-05-04,Mouse,Periféricos,Mariana,Sudeste,6,82.67,0.1,446.418
180,2026-02-27,Notebook,Informática,Ana,Sul,1,3541.9,0.15,3010.615
181,2026-01-29,Mouse,Periféricos,Rafael,Centro-Oeste,4,83.56,0.0,334.24
182,2026-06-10,Notebook,Informática,Rafael,Sudeste,2,3344.14,0.05,6353.865999999999
183,2026-01-15,Headset,Áudio,Mariana,Centro-Oeste,3,289.09,0.0,867.27
184,2026-01-20,Teclado,Periféricos,Ana,Sul,3,158.76,0.15,404.83799999999997
185,2026-02-28,Monitor,Informática,Mariana,Sul,5,1284.5,0.0,6422.5
186,2026-02-23,SSD 1TB,Armazenamento,Carlos,Sudeste,2,500.99,0.05,951.881
187,2026-06-09,Headset,Áudio,Carlos,Nordeste,3,277.81,0.0,833.4300000000001
188,2026-03-28,Webcam,Periféricos,Rafael,Nordeste,3,224.69,0.0,674.0699999999999
189,2026-06-14,SSD 1TB,Armazenamento,Ana,Nordeste,3,,0.0,
190,2026-06-09,Cadeira Gamer,Móveis,Carlos,Sudeste,3,1089.46,0.0,3268.38
191,2026-01-12,Mouse,Periféricos,Ana,Nordeste,4,85.23,0.0,340.92
192,2026-01-31,Mouse,Periféricos,Joao,Sul,2,82.49,0.15,140.23299999999998
193,2026-02-13,Mouse,Periféricos,Ana,Sul,3,80.17,0.0,240.51
194,2026-04-07,SSD 1TB,Armazenamento,Rafael,Sudeste,1,528.03,0.0,528.03
195,2026-01-31,Monitor,Informática,Rafael,Sul,8,1232.21,0.0,9857.68
196,2026-06-17,Webcam,Periféricos,Rafael,Sudeste,8,230.35,0.1,1658.52
197,2026-03-14,Webcam,Periféricos,Joao,Nordeste,7,222.41,0.05,1479.0264999999997
198,2026-05-24,Teclado,Periféricos,Joao,Sudeste,1,167.38,0.0,167.38
199,2026-01-13,Monitor,Informática,Rafael,Sul,3,1292.65,0.05,3684.0525000000002
200,2026-03-02,Cadeira Gamer,Móveis,Mariana,Sudeste,4,1184.12,0.0,4736.48
201,2026-06-13,Mouse,Periféricos,Beatriz,Sul,8,80.83,0.15,549.644
202,2026-01-04,Mouse,Periféricos,Mariana,Centro-Oeste,1,85.71,0.0,85.71
203,2026-04-03,Notebook,Informática,Carlos,Sul,2,3681.42,0.1,6626.5560000000005
204,2026-02-28,Monitor,Informática,Ana,Sul,5,1204.45,0.05,5721.1375
205,2026-04-14,SSD 1TB,Armazenamento,Ana,Nordeste,5,515.2,0.15,2189.6
206,2026-05-25,Mouse,Periféricos,Ana,Sul,2,87.51,0.0,175.02
207,2026-03-29,Monitor,Informática,Mariana,Nordeste,6,1284.4,0.05,7321.08
208,2026-05-20,Teclado,Periféricos,Joao,Nordeste,7,164.99,0.0,1154.93
209,2026-03-22,SSD 1TB,Armazenamento,Ana,Sudeste,2,514.46,0.15,874.582
210,2026-03-08,Mouse,Periféricos,Ana,Nordeste,4,83.59,0.0,334.36
211,2026-04-28,SSD 1TB,Armazenamento,Mariana,Nordeste,1,499.21,0.15,424.32849999999996
212,2026-05-04,Monitor,Informática,Rafael,Centro-Oeste,,1287.73,0.15,
213,2026-02-08,Webcam,Periféricos,Rafael,Sudeste,1,223.6,0.0,223.6
214,2026-01-20,Mouse,Periféricos,Beatriz,Sul,3,88.28,0.0,264.84000000000003
215,2026-06-18,Cadeira Gamer,Móveis,Carlos,Centro-Oeste,7,1179.19,0.1,7428.897
216,2026-03-01,Cadeira Gamer,Móveis,Joao,Sudeste,5,1112.09,0.1,5004.405
217,2026-01-25,Teclado,Periféricos,Joao,Centro-Oeste,1,160.81,0.0,160.81
218,2026-04-24,Monitor,Informática,Rafael,Centro-Oeste,5,1273.3,0.1,5729.85
219,2026-04-28,Mouse,Periféricos,Carlos,Nordeste,2,90.05,0.1,162.09
220,2026-02-06,Monitor,Informática,Mariana,Nordeste,3,1215.63,0.15,3099.8565000000003
221,2026-04-25,Cadeira Gamer,Móveis,Beatriz,Sudeste,5,1113.6,0.0,5568.0
222,2026-05-12,Notebook,Informática,Beatriz,Sul,1,3592.45,0.15,3053.5825
223,2026-01-10,SSD 1TB,Armazenamento,Beatriz,Sudeste,1,536.13,0.0,536.13
224,2026-01-19,Headset,Áudio,Mariana,Nordeste,7,282.7,0.05,1879.9549999999997
225,2026-05-21,Mouse,Periféricos,Mariana,Sudeste,2,84.89,0.15,144.313
226,2026-04-14,Headset,Áudio,Joao,Sudeste,2,295.22,0.0,590.44
227,2026-06-27,SSD 1TB,Armazenamento,Joao,Sudeste,7,504.77,0.05,3356.7205
228,2026-04-21,Webcam,Periféricos,Mariana,Nordeste,8,211.71,0.15,1439.628
229,2026-01-22,Headset,Áudio,Carlos,Centro-Oeste,4,272.5,0.1,981.0
230,2026-01-24,Webcam,Periféricos,Carlos,Centro-Oeste,4,218.32,0.0,873.28
231,2026-04-18,Mouse,Periféricos,Rafael,Nordeste,5,83.3,0.1,374.85
232,2026-06-30,Mouse,Periféricos,Joao,Sudeste,4,83.41,0.05,316.95799999999997
233,2026-04-01,Webcam,Periféricos,Rafael,Sul,8,212.68,0.0,1701.44
234,2026-03-24,Teclado,Periféricos,Carlos,Sul,3,157.88,0.1,426.276
235,2026-02-28,Notebook,Informática,Mariana,Nordeste,6,3615.61,0.0,21693.66
236,2026-05-06,Mouse,Periféricos,Ana,Sudeste,2,84.87,0.1,152.76600000000002
237,2026-03-27,Mouse,Periféricos,Ana,Sudeste,7,82.04,0.0,574.2800000000001
238,2026-05-07,Mouse,Periféricos,Ana,Nordeste,8,81.87,0.1,589.464
239,2026-06-04,SSD 1TB,Armazenamento,Carlos,Sul,6,521.7,0.1,2817.1800000000003
240,2026-01-12,SSD 1TB,Armazenamento,Beatriz,Sudeste,1,546.22,0.1,491.598
241,2026-04-21,Notebook,Informática,Mariana,Centro-Oeste,2,3480.7,0.1,6265.26
242,2026-04-11,Cadeira Gamer,Móveis,Ana,Sul,3,1193.58,0.05,3401.7029999999995
243,2026-04-17,Cadeira Gamer,Móveis,Rafael,Sul,6,1112.62,0.0,6675.719999999999
244,2026-04-29,Webcam,Periféricos,Ana,Sudeste,3,216.4,0.1,584.2800000000001
245,2026-02-13,Cadeira Gamer,Móveis,Ana,Sul,3,1187.11,0.0,3561.33
246,2026-02-12,Headset,Áudio,Rafael,Centro-Oeste,4,282.75,0.1,1017.9
247,2026-02-24,SSD 1TB,Armazenamento,Carlos,Sul,8,506.98,0.05,3853.048
248,2026-02-07,Teclado,Periféricos,Joao,Sudeste,4,154.36,0.0,617.44
249,2026-03-13,Notebook,Informática,Rafael,Sul,5,3409.16,0.05,16193.509999999998
250,2026-01-27,Cadeira Gamer,Móveis,Joao,Centro-Oeste,6,1115.89,0.0,6695.34
251,2026-02-03,Teclado,Periféricos,Carlos,Sul,5,160.91,0.05,764.3224999999999
252,2026-04-09,Monitor,Informática,Mariana,Centro-Oeste,1,1319.41,0.0,1319.41
253,2026-06-07,Headset,Áudio,Joao,Sudeste,8,291.42,0.1,2098.224
254,2026-02-11,Teclado,Periféricos,Rafael,Centro-Oeste,2,161.59,0.1,290.862
255,2026-02-27,Monitor,Informática,Ana,Sudeste,5,1183.46,0.1,5325.570000000001
256,2026-05-27,SSD 1TB,Armazenamento,Mariana,Centro-Oeste,3,511.56,0.0,1534.68
257,2026-05-04,Cadeira Gamer,Móveis,Beatriz,Nordeste,5,1115.36,0.0,5576.799999999999
258,2026-06-30,Notebook,Informática,Mariana,Sudeste,5,3585.74,0.0,17928.699999999997
259,2026-03-24,Webcam,Periféricos,Mariana,Centro-Oeste,2,226.54,0.05,430.426
260,2026-03-08,Notebook,Informática,Beatriz,Centro-Oeste,6,3555.63,0.0,21333.78
261,2026-01-05,Notebook,Informática,Beatriz,Centro-Oeste,1,3355.55,0.0,3355.55
262,2026-01-02,Notebook,Informática,Mariana,Nordeste,6,3520.52,0.0,21123.12
263,2026-02-02,Monitor,Informática,Mariana,Centro-Oeste,2,1244.93,0.0,2489.86
264,2026-03-18,Headset,Áudio,Beatriz,Sudeste,3,266.89,0.0,800.67
265,2026-06-10,Teclado,Periféricos,Joao,Sul,1,153.51,0.0,153.51
266,2026-03-16,Mouse,Periféricos,Joao,Nordeste,7,80.64,0.15,479.808
267,2026-02-03,Headset,Áudio,Carlos,Nordeste,8,267.89,0.15,1821.6519999999998
268,2026-03-09,Cadeira Gamer,Móveis,Rafael,Nordeste,3,1085.04,0.0,3255.12
269,2026-02-07,Mouse,Periféricos,Mariana,Sul,4,85.44,0.0,341.76
270,2026-05-03,Webcam,Periféricos,Mariana,Centro-Oeste,6,220.59,0.0,1323.54
271,2026-01-11,Mouse,Periféricos,Beatriz,Centro-Oeste,8,86.71,0.05,658.9959999999999
272,2026-04-21,Cadeira Gamer,Móveis,Carlos,Sul,4,1135.08,0.1,4086.288
273,2026-05-25,Mouse,Periféricos,Carlos,Sudeste,5,84.21,0.15,357.8924999999999
274,2026-01-12,Mouse,Periféricos,Rafael,Nordeste,4,81.1,0.0,324.4
275,2026-05-24,Headset,Áudio,Mariana,Nordeste,4,,0.0,
276,2026-04-30,Teclado,Periféricos,Rafael,Nordeste,5,160.09,0.0,800.45
277,2026-01-11,Cadeira Gamer,Móveis,Joao,Centro-Oeste,6,1125.64,0.15,5740.764
278,2026-05-26,Teclado,Periféricos,Beatriz,Sudeste,6,156.77,0.05,893.589
279,2026-01-18,Notebook,Informática,Ana,Sul,3,3679.06,0.05,10485.321
280,2026-05-22,Notebook,Informática,Rafael,Centro-Oeste,7,3643.85,0.0,25506.95
281,2026-03-07,Webcam,Periféricos,Joao,Sul,8,212.7,0.0,1701.6
282,2026-05-30,Webcam,Periféricos,Ana,Sul,2,225.83,0.15,383.911
283,2026-01-18,Headset,Áudio,Rafael,Sul,8,293.19,0.0,2345.52
284,2026-02-28,Webcam,Periféricos,Mariana,Centro-Oeste,4,211.18,0.0,844.72
285,2026-04-09,Webcam,Periféricos,Beatriz,Nordeste,3,217.05,0.0,651.1500000000001
286,2026-01-18,Notebook,Informática,Beatriz,Sul,4,3426.63,0.1,12335.868
287,2026-04-19,Notebook,Informática,Ana,Sul,7,3321.03,0.0,23247.210000000003
288,2026-03-24,Headset,Áudio,Mariana,Centro-Oeste,7,292.23,0.1,1841.0490000000002
289,2026-03-19,Headset,Áudio,Rafael,Sul,3,272.31,0.1,735.2370000000001
290,2026-02-23,Webcam,Periféricos,Carlos,Sul,8,214.81,0.0,1718.48
291,2026-06-02,Headset,Áudio,Carlos,Sul,7,269.49,0.05,1792.1085
292,2026-05-01,Teclado,Periféricos,Ana,Centro-Oeste,7,153.69,0.0,1075.83
293,2026-06-27,Cadeira Gamer,Móveis,Ana,Centro-Oeste,2,1199.65,0.0,2399.3
294,2026-05-14,Headset,Áudio,Joao,Sul,5,295.71,0.05,1404.6225
295,2026-01-03,Teclado,Periféricos,Ana,Nordeste,1,151.85,0.0,151.85
