id_venda,data,produto,categoria,vendedor,regiao,quantidade,preco_unitario,desconto
58,2026-04-18,Cadeira Gamer,Móveis,Joao,Centro-Oeste,1.0,1147.36,0.15
59,2026-04-30,Webcam,Periféricos,Mariana,Sul,2.0,226.71,0.1
60,2026-04-25,Monitor,Informática,Ana,Sudeste,2.0,1255.06,0.1
61,2026-03-03,SSD 1TB,Armazenamento,Beatriz,Sudeste,5.0,521.4,0.1
62,2026-02-12,Mouse,Periféricos,Mariana,Sudeste,4.0,88.67,0.15
63,2026-03-03,Notebook,Informática,Joao,Sudeste,8.0,3344.49,0.15
64,2026-05-17,Mouse,Periféricos,Mariana,Sul,-2.0,89.83,0.15
65,2026-05-17,Cadeira Gamer,Móveis,Carlos,Sul,4.0,1170.17,0.15
66,2026-01-09,Cadeira Gamer,Móveis,Rafael,Nordeste,6.0,1201.64,0.15
67,2026-04-28,Webcam,Periféricos,Joao,Centro-Oeste,1.0,217.84,0.15
68,2026-02-14,Notebook,Informática,Rafael,Centro-Oeste,4.0,3597.57,0.0
69,2026-01-07,Headset,Áudio,Mariana,Sudeste,8.0,294.34,0.15
70,2026-06-10,Mouse,Periféricos,Carlos,Nordeste,2.0,84.54,0.15
71,2026-03-05,Teclado,Periféricos,Carlos,Centro-Oeste,1.0,154.46,0.0
72,2026-05-02,Webcam,Periféricos,Rafael,Sul,8.0,233.13,0.1
73,2026-03-24,Notebook,Informática,Carlos,Nordeste,3.0,3531.54,0.0
74,2026-02-16,Webcam,Periféricos,Beatriz,Centro-Oeste,5.0,215.85,0.15
75,2026-05-13,Headset,Áudio,Beatriz,Sul,3.0,286.01,0.0
76,2026-04-24,Notebook,Informática,Joao,Centro-Oeste,1.0,3488.59,0.0
77,2026-05-04,Monitor,Informática,Rafael,Sul,3.0,1297.38,0.0
78,2026-05-30,Teclado,Periféricos,Ana,Nordeste,5.0,153.83,0.0
79,2026-01-12,Cadeira Gamer,Móveis,Mariana,Centro-Oeste,2.0,1178.09,0.15
80,2026-01-14,Webcam,Periféricos,Joao,Sudeste,5.0,219.51,0.0
81,2026-06-27,Cadeira Gamer,Móveis,Mariana,Centro-Oeste,3.0,1114.6,0.0
82,2026-01-25,Mouse,Periféricos,Carlos,Centro-Oeste,2.0,83.82,0.15
83,2026-02-21,Notebook,Informática,Carlos,Centro-Oeste,5.0,3422.12,0.0
84,2026-04-30,Webcam,Periféricos,Ana,Sul,6.0,213.16,0.0
85,2026-01-27,Webcam,Periféricos,Ana,Nordeste,1.0,221.97,0.0
86,2026-01-16,SSD 1TB,Armazenamento,Ana,Nordeste,8.0,519.81,0.05
87,2026-04-20,Teclado,Periféricos,Rafael,Nordeste,5.0,158.77,0.05
88,2026-06-11,Monitor,Informática,Mariana,Sudeste,1.0,1196.98,0.15
89,2026-06-10,SSD 1TB,Armazenamento,Mariana,,8.0,527.67,0.1
90,2026-01-15,Headset,Áudio,Carlos,Centro-Oeste,6.0,294.26,0.0
91,2026-01-21,SSD 1TB,Armazenamento,Ana,Nordeste,2.0,545.41,0.05
92,2026-03-17,SSD 1TB,Armazenamento,Mariana,Centro-Oeste,5.0,497.58,0.1
93,2026-02-06,Teclado,Periféricos,Ana,Sul,6.0,161.11,0.0
94,2026-03-07,SSD 1TB,Armazenamento,Beatriz,Sudeste,1.0,533.15,0.05
95,2026-03-01,Webcam,Periféricos,Joao,Sul,2.0,219.45,0.0
96,2026-04-04,Mouse,Periféricos,Joao,Sudeste,3.0,87.61,0.15
97,2026-06-24,Webcam,Periféricos,Ana,Centro-Oeste,2.0,225.7,0.05
98,2026-06-09,SSD 1TB,Armazenamento,Ana,Nordeste,4.0,516.74,0.0
99,2026-01-25,Monitor,Informática,Carlos,Sudeste,8.0,1245.52,0.05
100,2026-03-22,Notebook,Informática,Rafael,Sul,3.0,3521.15,0.0
101,2026-03-22,Mouse,Periféricos,Joao,Sudeste,1.0,82.77,0.15
102,2026-03-09,Webcam,Periféricos,Mariana,Sul,6.0,213.72,0.15
103,2026-02-04,Monitor,Informática,Mariana,Centro-Oeste,3.0,1185.35,0.1
104,2026-06-09,Headset,Áudio,Rafael,Sul,6.0,265.0,0.1
105,2026-01-29,Notebook,Informática,Joao,Nordeste,7.0,3526.51,0.0
106,2026-04-06,SSD 1TB,Armazenamento,Mariana,Nordeste,2.0,550.92,0.15
107,2026-06-02,Teclado,Periféricos,Ana,Centro-Oeste,8.0,152.65,0.0
108,2026-04-29,SSD 1TB,Armazenamento,Joao,Sudeste,3.0,523.91,0.1
109,2026-04-08,Webcam,Periféricos,Beatriz,Sudeste,8.0,212.22,0.15
110,2026-06-30,Webcam,Periféricos,Beatriz,Nordeste,4.0,216.37,0.0
111,2026-06-30,Notebook,Informática,Ana,Centro-Oeste,3.0,3491.83,0.0
112,2026-06-30,Mouse,Periféricos,Beatriz,Nordeste,4.0,82.53,0.0
113,2026-04-13,Mouse,Periféricos,Beatriz,Sul,2.0,80.65,0.0
114,2026-05-26,Monitor,Informática,Rafael,Centro-Oeste,7.0,1209.57,0.15
115,2026-05-26,Headset,Áudio,Rafael,Centro-Oeste,6.0,285.82,0.15
116,2026-01-18,Teclado,Periféricos,Ana,Nordeste,1.0,159.97,0.0
117,2026-04-02,Cadeira Gamer,Móveis,Rafael,Centro-Oeste,6.0,1145.8,0.1
118,2026-06-20,SSD 1TB,Armazenamento,Joao,Centro-Oeste,7.0,493.51,0.1
119,2026-06-22,Notebook,Informática,Carlos,Sul,8.0,3627.78,0.05
120,2026-01-12,Teclado,Periféricos,Ana,SUDESTE,3.0,159.63,0.0
121,2026-05-01,Cadeira Gamer,Móveis,Ana,Nordeste,2.0,1193.99,0.1
122,2026-04-24,Mouse,Periféricos,Joao,Sudeste,4.0,82.98,0.0
123,2026-05-11,Mouse,Periféricos,Carlos,Sul,7.0,88.24,0.1
124,2026-05-05,SSD 1TB,Armazenamento,Rafael,Centro-Oeste,2.0,495.28,0.05
125,2026-02-06,Webcam,Periféricos,Beatriz,Centro-Oeste,8.0,230.86,0.0
126,2026-02-17,Headset,Áudio,Beatriz,Sul,2.0,277.03,0.0
127,2026-06-22,Headset,Áudio,Mariana,Sul,7.0,274.62,0.15
128,2026-02-17,Monitor,Informática,Mariana,Sudeste,2.0,1277.26,0.0
129,2026-03-08,Cadeira Gamer,Móveis,Rafael,Centro-Oeste,3.0,1163.33,0.1
130,2026-02-25,Webcam,Periféricos,Joao,Centro-Oeste,4.0,211.71,0.05
131,2026-02-07,SSD 1TB,Armazenamento,Beatriz,Nordeste,1.0,503.67,0.15
132,2026-02-06,Monitor,Informática,Rafael,Sudeste,4.0,1207.69,0.15
133,2026-03-19,Teclado,Periféricos,Beatriz,Sul,7.0,158.59,0.0
134,2026-04-23,Mouse,Periféricos,Joao,Sudeste,6.0,87.37,0.0
135,2026-02-07,Mouse,Periféricos,Rafael,Centro-Oeste,8.0,87.59,0.05
136,2026-01-07,Headset,Áudio,Joao,Sul,6.0,278.73,0.0
137,2026-03-08,Mouse,Periféricos,Ana,Centro-Oeste,5.0,86.12,0.0
138,2026-01-09,Webcam,Periféricos,Rafael,Sul,4.0,229.8,0.0
139,2026-01-06,Teclado,Periféricos,Mariana,Sudeste,5.0,164.82,0.05
140,2026-02-25,Mouse,Periféricos,Beatriz,Sudeste,3.0,81.35,0.15
141,2026-02-27,Notebook,Informática,Carlos,Centro-Oeste,3.0,3494.1,0.1
142,2026-03-10,Webcam,Periféricos,Rafael,Sul,2.0,227.01,0.05
143,2026-01-09,,Áudio,Joao,Sudeste,7.0,272.25,0.1
144,2026-01-25,Headset,Áudio,Joao,Sul,5.0,291.82,0.0
145,2026-02-26,Notebook,Informática,Carlos,Sudeste,3.0,3374.52,0.15
146,2026-04-04,Webcam,Periféricos,Mariana,Centro-Oeste,5.0,211.08,0.1
147,2026-05-01,SSD 1TB,Armazenamento,Ana,Sul,3.0,540.9,0.05
148,2026-01-21,Webcam,Periféricos,Joao,Centro-Oeste,6.0,217.04,0.0
149,2026-05-15,Cadeira Gamer,Móveis,Ana,Sul,5.0,1149.79,0.05
150,2026-05-16,SSD 1TB,Armazenamento,Beatriz,Sudeste,5.0,531.55,0.0
151,2026-06-12,SSD 1TB,Armazenamento,Mariana,Centro-Oeste,8.0,512.97,0.1
152,2026-03-29,Headset,Áudio,Joao,Sudeste,8.0,296.8,0.0
153,2026-04-03,Webcam,Periféricos,Joao,Sudeste,4.0,224.06,0.15
154,2026-02-02,Webcam,Periféricos,Beatriz,Nordeste,3.0,208.06,0.0
155,2026-04-19,Mouse,Periféricos,Rafael,Sudeste,2.0,81.71,0.05
156,2026-06-04,Mouse,Periféricos,Mariana,Sul,4.0,87.41,0.15
157,2026-04-09,SSD 1TB,Armazenamento,Joao,Sul,1.0,527.55,0.0
158,2026-04-05,Notebook,Informática,Mariana,Centro-Oeste,4.0,3587.97,0.0
159,2026-03-01,Webcam,Periféricos,Joao,Sul,4.0,216.06,0.15
160,2026-05-11,Monitor,Informática,Mariana,Centro-Oeste,8.0,1253.34,0.15
161,2026-01-12,Notebook,Informática,Joao,Centro-Oeste,1.0,3456.23,0.0
162,2026-05-10,Cadeira Gamer,Móveis,Carlos,Nordeste,6.0,1109.5,0.05
163,2026-01-20,Teclado,Periféricos,Joao,Sul,6.0,156.01,0.0
164,2026-01-12,Mouse,Periféricos,Beatriz,Nordeste,7.0,86.1,0.15
165,2026-05-25,Headset,Áudio,Mariana,Nordeste,1.0,274.78,0.1
166,2026-02-22,Teclado,Periféricos,Mariana,Sul,5.0,163.49,0.05
167,2026-03-04,Headset,Áudio,Carlos,Centro-Oeste,4.0,275.61,0.15
168,2026-06-29,Webcam,Periféricos,Carlos,Nordeste,7.0,232.82,0.1
169,2026-04-11,Headset,Áudio,Mariana,Nordeste,7.0,291.93,0.15
170,2026-05-18,Headset,Áudio,Beatriz,Nordeste,2.0,294.92,0.0
171,2026-01-22,Webcam,Periféricos,Beatriz,Nordeste,1.0,232.95,0.0
172,2026-05-01,SSD 1TB,Armazenamento,Rafael,Nordeste,7.0,548.41,0.05
173,2026-03-14,Teclado,Periféricos,Carlos,Sul,8.0,168.83,0.0
174,2026-05-16,Webcam,Periféricos,Mariana,Nordeste,8.0,219.41,0.0
175,2026-03-03,Notebook,Informática,Ana,Sul,8.0,3680.39,0.1
176,2026-03-26,Teclado,Periféricos,Mariana,Centro-Oeste,2.0,156.13,0.15
177,2026-01-14,Teclado,Periféricos,Mariana,Centro-Oeste,6.0,158.78,0.05
178,2026-05-19,Monitor,Informática,Ana,Nordeste,4.0,1278.97,0.05
179,2026-05-04,Mouse,Periféricos,Mariana,Sudeste,6.0,82.67,0.1
180,2026-02-27,Notebook,Informática,Ana,Sul,1.0,3541.9,0.15
181,2026-01-29,Mouse,Periféricos,Rafael,Centro-Oeste,4.0,83.56,0.0
182,2026-06-10,Notebook,Informática,Rafael,Sudeste,2.0,3344.14,0.05
183,2026-01-15,Headset,Áudio,Mariana,Centro-Oeste,3.0,289.09,0.0
184,2026-01-20,Teclado,Periféricos,Ana,Sul,3.0,158.76,0.15
185,2026-02-28,Monitor,Informática,Mariana,Sul,5.0,1284.5,0.0
186,2026-02-23,SSD 1TB,Armazenamento,Carlos,Sudeste,2.0,500.99,0.05
187,2026-06-09,Headset,Áudio,Carlos,Nordeste,3.0,277.81,0.0
188,2026-03-28,Webcam,Periféricos,Rafael,Nordeste,3.0,224.69,0.0
189,2026-06-14,SSD 1TB,Armazenamento,Ana,Nordeste,3.0,-85.0,0.0
190,2026-06-09,Cadeira Gamer,Móveis,Carlos,Sudeste,3.0,1089.46,0.0
191,2026-01-12,Mouse,Periféricos,Ana,Nordeste,4.0,85.23,0.0
192,2026-01-31,Mouse,Periféricos,Joao,Sul,2.0,82.49,0.15
193,2026-02-13,Mouse,Periféricos,Ana,Sul,3.0,80.17,0.0
194,2026-04-07,SSD 1TB,Armazenamento,Rafael,Sudeste,1.0,528.03,0.0
195,2026-01-31,Monitor,Informática,Rafael,Sul,8.0,1232.21,0.0
196,2026-06-17,Webcam,Periféricos,Rafael,Sudeste,8.0,230.35,0.1
197,2026-03-14,Webcam,Periféricos,Joao,Nordeste,7.0,222.41,0.05
198,2026-05-24,Teclado,Periféricos,Joao,Sudeste,1.0,167.38,0.0
199,2026-01-13,Monitor,Informática,Rafael,Sul,3.0,1292.65,0.05
200,2026-03-02,Cadeira Gamer,Móveis,Mariana,Sudeste,4.0,1184.12,0.0
201,2026-06-13,Mouse,Periféricos,Beatriz,Sul,8.0,80.83,0.15
202,2026-01-04,Mouse,Periféricos,Mariana,Centro-Oeste,1.0,85.71,0.0
203,2026-04-03,Notebook,Informática,Carlos,Sul,2.0,3681.42,0.1
204,2026-02-28,Monitor,Informática,Ana,Sul,5.0,1204.45,0.05
205,2026-04-14,SSD 1TB,Armazenamento,Ana,Nordeste,5.0,515.2,0.15
206,2026-05-25,Mouse,Periféricos,Ana,Sul,2.0,87.51,0.0
207,2026-03-29,Monitor,Informática,Mariana,Nordeste,6.0,1284.4,0.05
208,2026-05-20,Teclado,Periféricos,Joao,Nordeste,7.0,164.99,0.0
209,2026-03-22,SSD 1TB,Armazenamento,Ana,Sudeste,2.0,514.46,0.15
210,2026-03-08,Mouse,Periféricos,Ana,Nordeste,4.0,83.59,0.0
211,2026-04-28,SSD 1TB,Armazenamento,Mariana,Nordeste,1.0,499.21,0.15
212,2026-05-04,Monitor,Informática,Rafael,Centro-Oeste,,1287.73,0.15
213,2026-02-08,Webcam,Periféricos,Rafael,Sudeste,1.0,223.6,0.0
214,2026-01-20,Mouse,Periféricos,Beatriz,Sul,3.0,88.28,0.0
215,2026-06-18,Cadeira Gamer,Móveis,Carlos,Centro-Oeste,7.0,1179.19,0.1
216,2026-03-01,Cadeira Gamer,Móveis,Joao,Sudeste,5.0,1112.09,0.1
217,2026-01-25,Teclado,Periféricos,Joao,Centro-Oeste,1.0,160.81,0.0
218,2026-04-24,Monitor,Informática,Rafael,Centro-Oeste,5.0,1273.3,0.1
219,2026-04-28,Mouse,Periféricos,Carlos,Nordeste,2.0,90.05,0.1
220,2026-02-06,Monitor,Informática,Mariana,Nordeste,3.0,1215.63,0.15
221,2026-04-25,Cadeira Gamer,Móveis,Beatriz,Sudeste,5.0,1113.6,0.0
222,2026-05-12,Notebook,Informática,Beatriz,Sul,1.0,3592.45,0.15
223,2026-01-10,SSD 1TB,Armazenamento,Beatriz,Sudeste,1.0,536.13,0.0
224,2026-01-19,Headset,Áudio,Mariana,Nordeste,7.0,282.7,0.05
225,2026-05-21,Mouse,Periféricos,Mariana,Sudeste,2.0,84.89,0.15
226,2026-04-14,Headset,Áudio,Joao,Sudeste,2.0,295.22,0.0
227,2026-06-27,SSD 1TB,Armazenamento,Joao,Sudeste,7.0,504.77,0.05
228,2026-04-21,Webcam,Periféricos,Mariana,Nordeste,8.0,211.71,0.15
229,2026-01-22,Headset,Áudio,Carlos,Centro-Oeste,4.0,272.5,0.1
230,2026-01-24,Webcam,Periféricos,Carlos,Centro-Oeste,4.0,218.32,0.0
231,2026-04-18,Mouse,Periféricos,Rafael,Nordeste,5.0,83.3,0.1
232,2026-06-30,Mouse,Periféricos,Joao,Sudeste,4.0,83.41,0.05
233,2026-04-01,Webcam,Periféricos,Rafael,Sul,8.0,212.68,0.0
234,2026-03-24,Teclado,Periféricos,Carlos,Sul,3.0,157.88,0.1
235,2026-02-28,Notebook,Informática,Mariana,Nordeste,6.0,3615.61,0.0
236,2026-05-06,Mouse,Periféricos,Ana,Sudeste,2.0,84.87,0.1
237,2026-03-27,Mouse,Periféricos,Ana,Sudeste,7.0,82.04,0.0
238,2026-05-07,Mouse,Periféricos,Ana,Nordeste,8.0,81.87,0.1
239,2026-06-04,SSD 1TB,Armazenamento,Carlos,Sul,6.0,521.7,0.1
240,2026-01-12,SSD 1TB,Armazenamento,Beatriz,Sudeste,1.0,546.22,0.1
241,2026-04-21,Notebook,Informática,Mariana,Centro-Oeste,2.0,3480.7,0.1
242,2026-04-11,Cadeira Gamer,Móveis,Ana,Sul,3.0,1193.58,0.05
243,2026-04-17,Cadeira Gamer,Móveis,Rafael,Sul,6.0,1112.62,0.0
244,2026-04-29,Webcam,Periféricos,Ana,Sudeste,3.0,216.4,0.1
245,2026-02-13,Cadeira Gamer,Móveis,Ana,Sul,3.0,1187.11,0.0
246,2026-02-12,Headset,Áudio,Rafael,Centro-Oeste,4.0,282.75,0.1
247,2026-02-24,SSD 1TB,Armazenamento,Carlos,Sul,8.0,506.98,0.05
248,2026-02-07,Teclado,Periféricos,Joao,Sudeste,4.0,154.36,0.0
249,2026-03-13,Notebook,Informática,Rafael,Sul,5.0,3409.16,0.05
250,2026-01-27,Cadeira Gamer,Móveis,Joao,Centro-Oeste,6.0,1115.89,0.0
251,2026-02-03,Teclado,Periféricos,Carlos,Sul,5.0,160.91,0.05
252,2026-04-09,Monitor,Informática,Mariana,Centro-Oeste,1.0,1319.41,0.0
253,2026-06-07,Headset,Áudio,Joao,Sudeste,8.0,291.42,0.1
254,2026-02-11,Teclado,Periféricos,Rafael,Centro-Oeste,2.0,161.59,0.1
255,2026-02-27,Monitor,Informática,Ana,Sudeste,5.0,1183.46,0.1
256,2026-05-27,SSD 1TB,Armazenamento,Mariana,Centro-Oeste,3.0,511.56,0.0
257,2026-05-04,Cadeira Gamer,Móveis,Beatriz,Nordeste,5.0,1115.36,0.0
258,2026-06-30,Notebook,Informática,Mariana,Sudeste,5.0,3585.74,0.0
259,2026-03-24,Webcam,Periféricos,Mariana,Centro-Oeste,2.0,226.54,0.05
260,2026-03-08,Notebook,Informática,Beatriz,Centro-Oeste,6.0,3555.63,0.0
261,2026-01-05,Notebook,Informática,Beatriz,Centro-Oeste,1.0,3355.55,0.0
262,2026-01-02,Notebook,Informática,Mariana,Nordeste,6.0,3520.52,0.0
263,2026-02-02,Monitor,Informática,Mariana,Centro-Oeste,2.0,1244.93,0.0
264,2026-03-18,Headset,Áudio,Beatriz,Sudeste,3.0,266.89,0.0
265,2026-06-10,Teclado,Periféricos,Joao,Sul,1.0,153.51,0.0
266,2026-03-16,Mouse,Periféricos,Joao,Nordeste,7.0,80.64,0.15
267,2026-02-03,Headset,Áudio,Carlos,Nordeste,8.0,267.89,0.15
268,2026-03-09,Cadeira Gamer,Móveis,Rafael,Nordeste,3.0,1085.04,0.0
269,2026-02-07,Mouse,Periféricos,Mariana,Sul,4.0,85.44,0.0
270,2026-05-03,Webcam,Periféricos,Mariana,Centro-Oeste,6.0,220.59,0.0
271,2026-01-11,Mouse,Periféricos,Beatriz,Centro-Oeste,8.0,86.71,0.05
272,2026-04-21,Cadeira Gamer,Móveis,Carlos,Sul,4.0,1135.08,0.1
273,2026-05-25,Mouse,Periféricos,Carlos,Sudeste,5.0,84.21,0.15
274,2026-01-12,Mouse,Periféricos,Rafael,Nordeste,4.0,81.1,0.0
275,2026-05-24,Headset,Áudio,Mariana,Nordeste,4.0,,0.0
276,2026-04-30,Teclado,Periféricos,Rafael,Nordeste,5.0,160.09,0.0
277,2026-01-11,Cadeira Gamer,Móveis,Joao,Centro-Oeste,6.0,1125.64,0.15
278,2026-05-26,Teclado,Periféricos,Beatriz,Sudeste,6.0,156.77,0.05
279,2026-01-18,Notebook,Informática,Ana,Sul,3.0,3679.06,0.05
280,2026-05-22,Notebook,Informática,Rafael,Centro-Oeste,7.0,3643.85,0.0
281,2026-03-07,Webcam,Periféricos,Joao,Sul,8.0,212.7,0.0
282,2026-05-30,Webcam,Periféricos,Ana,Sul,2.0,225.83,0.15
283,2026-01-18,Headset,Áudio,Rafael,Sul,8.0,293.19,0.0
284,2026-02-28,Webcam,Periféricos,Mariana,Centro-Oeste,4.0,211.18,0.0
285,2026-04-09,Webcam,Periféricos,Beatriz,Nordeste,3.0,217.05,0.0
286,2026-01-18,Notebook,Informática,Beatriz,Sul,4.0,3426.63,0.1
287,2026-04-19,Notebook,Informática,Ana,Sul,7.0,3321.03,0.0
288,2026-03-24,Headset,Áudio,Mariana,Centro-Oeste,7.0,292.23,0.1
289,2026-03-19,Headset,Áudio,Rafael,Sul,3.0,272.31,0.1
290,2026-02-23,Webcam,Periféricos,Carlos,Sul,8.0,214.81,0.0
291,2026-06-02,Headset,Áudio,Carlos,Sul,7.0,269.49,0.05
292,2026-05-01,Teclado,Periféricos,Ana,Centro-Oeste,7.0,153.69,0.0
293,2026-06-27,Cadeira Gamer,Móveis,Ana,Centro-Oeste,2.0,1199.65,0.0
294,2026-05-14,Headset,Áudio,Joao,Sul,5.0,295.71,0.05
295,2026-01-03,Teclado,Periféricos,Ana,Nordeste,1.0,151.85,0.0
296,2026-03-29,Mouse,Periféricos,Carlos,Nordeste,1.0,80.09,0.0
297,2026-05-24,Mouse,Periféricos,Mariana,Centro-Oeste,8.0,84.64,0.15
298,2026-06-09,Notebook,Informática,Mariana,Nordeste,4.0,3298.85,0.1
299,2026-05-06,Notebook,Informática,Beatriz,Sul,4.0,3392.08,0.05
300,2026-06-05,SSD 1TB,Armazenamento,Carlos,Centro-Oeste,7.0,537.92,0.0
301,2026-03-31,Cadeira Gamer,Móveis,Rafael,Centro-Oeste,4.0,1103.94,0.0
302,2026-04-29,Teclado,Periféricos,Joao,Centro-Oeste,1.0,155.86,0.0
303,2026-05-09,Teclado,Periféricos,Mariana,Centro-Oeste,5.0,155.08,0.1
304,2026-05-05,SSD 1TB,Armazenamento,Beatriz,Sul,1.0,509.28,0.05
305,2026-04-15,Cadeira Gamer,Móveis,Ana,Sudeste,4.0,1122.15,0.15
306,2026-06-27,Mouse,Periféricos,Carlos,Sudeste,7.0,86.25,0.05
307,2026-06-19,Headset,Áudio,Rafael,Nordeste,8.0,292.01,0.05
308,2026-06-09,SSD 1TB,informatica,Ana,Sudeste,2.0,497.2,0.0
309,2026-03-09,Webcam,Periféricos,Mariana,Sudeste,5.0,206.9,0.0
310,2026-03-17,Monitor,Informática,Ana,Nordeste,4.0,1224.18,0.05
311,2026-04-06,Webcam,Periféricos,Mariana,Sudeste,4.0,224.57,0.15
312,2026-03-17,Notebook,Informática,Joao,Centro-Oeste,1.0,3676.8,0.0
313,2026-01-13,Webcam,Periféricos,Mariana,Centro-Oeste,5.0,220.29,0.15
314,2026-06-24,Notebook,Informática,Carlos,Sudeste,1.0,3367.34,0.0
315,2026-03-11,SSD 1TB,Armazenamento,Carlos,Sul,3.0,500.41,0.15
316,2026-01-30,Webcam,Periféricos,Ana,Sul,1.0,223.94,0.05
317,2026-03-30,Webcam,Periféricos,Mariana,Nordeste,7.0,218.62,0.0
318,2026-03-21,Monitor,Informática,Carlos,Sul,8.0,1254.71,0.0
319,2026-02-12,SSD 1TB,Armazenamento,Carlos,Sul,7.0,507.86,0.1
